,0
0,1.0
2,7.0
4,182.0
5,4905.0
8,13396.0
9,126.0
10,420.0
11,1951.0
12,473.0
13,8117.0
16,271.0
18,510.0
19,29.0
20,923.0
21,40.0
22,43.0
23,582.0
27,6.0
28,1413.0
30,130.0
33,215.0
34,343.0
35,14.0
36,15.0
40,7.0
41,2.0
44,41.0
45,21.0
47,39.0
48,6.0
51,693.0
57,236.0
62,2.0
63,2.0
65,1632.0
66,527.0
67,345.0
68,91.0
69,7.0
70,8.0
71,237.0
72,378.0
73,2772.0
75,1.0
76,178.0
78,7.0
81,2858.0
82,721.0
83,84.0
84,75.0
87,5.0
88,85.0
89,146.0
90,437.0
91,91.0
92,77.0
94,126.0
95,1025.0
99,208.0
100,5.0
101,169.0
102,4.0
103,9.0
105,12.0
106,973.0
107,2.0
108,498.0
109,23.0
110,882.0
111,35.0
112,2764.0
113,425.0
114,51.0
116,68.0
119,138.0
120,125.0
121,492.0
122,32.0
123,630.0
124,16.0
125,34.0
126,2317.0
128,150.0
132,18.0
135,18.0
138,16.0
139,22.0
140,1416.0
141,28.0
142,662.0
143,987.0
144,22.0
145,1336.0
146,2.0
147,1.0
148,65.0
149,1233.0
151,265.0
152,10.0
153,46.0
154,1325.0
155,11.0
156,4332.0
157,50.0
158,6.0
159,360.0
160,1797.0
161,225.0
162,197.0
164,22.0
165,26.0
167,68.0
168,332.0
169,245.0
170,69.0
171,126.0
172,735.0
173,1764.0
176,81.0
177,145.0
178,272.0
179,1834.0
180,2006.0
181,999.0
182,6.0
183,690.0
184,16.0
185,267.0
187,212.0
188,246.0
189,1169.0
190,382.0
191,5.0
192,272.0
193,1809.0
194,1822.0
195,31.0
196,1928.0
197,213.0
198,698.0
199,54.0
202,310.0
203,8.0
205,942.0
206,9792.0
207,24.0
208,754.0
209,1044.0
211,2843.0
213,805.0
214,79.0
215,713.0
217,10814.0
218,204.0
219,380.0
220,68.0
221,2264.0
222,211.0
223,1284.0
224,742.0
225,48.0
228,676.0
229,497.0
230,106.0
232,22.0
234,2967.0
235,784.0
236,56.0
237,559.0
239,175.0
240,304.0
241,2.0
242,275.0
243,1357.0
245,3.0
246,1227.0
247,19.0
248,7.0
249,79.0
250,67.0
252,2.0
255,32.0
256,2589.0
258,46.0
259,898.0
261,6004.0
262,173.0
263,266.0
264,11.0
265,2020.0
267,81.0
269,5.0
270,261.0
271,19.0
273,1.0
275,123.0
277,167.0
282,1377.0
283,161.0
284,38.0
285,21.0
287,2.0
288,653.0
290,79.0
291,2282.0
292,10995.0
293,491.0
294,37.0
297,599.0
299,962.0
301,228.0
302,142.0
303,118.0
304,170.0
305,2642.0
307,746.0
311,32.0
313,1579.0
314,640.0
315,11.0
317,149.0
318,399.0
319,54.0
321,418.0
322,1978.0
325,26.0
326,4085.0
329,149.0
331,534.0
332,408.0
333,89.0
335,3.0
336,69.0
337,886.0
338,82.0
339,657.0
340,2.0
341,12.0
342,2073.0
346,408.0
347,356.0
348,1250.0
349,1341.0
350,8.0
351,17.0
354,78.0
355,73.0
357,39.0
359,4777.0
360,376.0
361,398.0
362,171.0
363,987.0
366,30.0
368,168.0
370,71.0
371,28.0
372,6.0
373,608.0
374,9.0
375,1944.0
376,8.0
377,353.0
380,23.0
382,23.0
384,135.0
385,343.0
388,257.0
390,51.0
391,192.0
392,1379.0
393,255.0
394,1745.0
396,52.0
397,4.0
399,498.0
402,416.0
403,119.0
404,17.0
405,21.0
408,2.0
409,4.0
412,240.0
414,751.0
415,157.0
418,13.0
419,24.0
420,7.0
421,48.0
423,20.0
428,2043.0
429,3.0
430,461.0
431,22.0
