,0
1,2.0
2,2948.0
3,20.0
4,15.0
6,162.0
9,4.0
11,8.0
12,218.0
13,21.0
14,8.0
16,93.0
21,259.0
22,446.0
24,998.0
25,65.0
26,16.0
28,15.0
29,113.0
30,346.0
34,4.0
36,294.0
37,354.0
38,142.0
39,4.0
40,19.0
42,968.0
45,121.0
49,1.0
52,42.0
54,11.0
57,34.0
59,216.0
60,293.0
61,3.0
62,5.0
63,3128.0
65,18.0
68,27.0
71,1225.0
73,10.0
75,390.0
76,47.0
77,6.0
78,17.0
79,22.0
80,296.0
81,22.0
84,152.0
85,96.0
86,4.0
90,230.0
94,5.0
95,1.0
96,7.0
98,52.0
100,132.0
103,1.0
104,24.0
105,3.0
107,55.0
108,19.0
109,18.0
110,3.0
111,11.0
113,6.0
117,2.0
118,25.0
120,459.0
121,25.0
123,16.0
124,74.0
125,197.0
126,25.0
127,588.0
128,180.0
129,35.0
130,82.0
131,359.0
135,25.0
142,1422.0
143,373.0
147,12.0
148,5.0
150,9.0
151,9.0
152,134.0
154,20.0
155,7.0
156,120.0
157,608.0
158,1.0
159,15.0
160,96.0
162,267.0
165,26.0
169,1.0
170,89.0
172,4.0
174,15.0
175,128.0
178,52.0
180,11.0
181,16.0
183,7.0
185,517.0
187,85.0
188,29.0
189,217.0
190,3.0
192,2.0
194,381.0
195,80.0
196,7.0
197,18.0
198,85.0
199,2382.0
200,2.0
201,389.0
202,5.0
203,749.0
204,1389.0
206,867.0
207,8.0
208,3449.0
209,112.0
212,269.0
213,248.0
214,295.0
217,6.0
218,1325.0
219,115.0
220,24.0
221,9.0
222,257.0
224,109.0
227,17.0
228,13.0
229,4.0
230,122.0
231,4.0
233,520.0
235,33.0
237,3.0
238,1.0
239,239.0
242,56.0
244,44.0
247,21.0
248,28.0
249,19.0
251,39.0
253,57.0
254,21.0
255,848.0
258,8.0
260,42.0
261,174.0
262,13.0
263,146.0
264,6.0
265,254.0
267,8.0
269,11.0
270,641.0
272,1.0
274,598.0
275,48.0
278,7.0
279,2543.0
280,290.0
282,14.0
283,31.0
286,68.0
287,27.0
288,81.0
289,525.0
290,41.0
292,101.0
293,1.0
295,1.0
297,133.0
299,34.0
300,17.0
304,4.0
307,225.0
308,88.0
310,78.0
312,2.0
313,1191.0
314,181.0
315,809.0
316,115.0
317,4129.0
319,7.0
321,128.0
323,339.0
326,2.0
329,1.0
331,8.0
333,7.0
334,237.0
335,60.0
337,196.0
338,285.0
339,3.0
341,195.0
342,260.0
343,284.0
344,170.0
345,990.0
346,21.0
347,23.0
348,108.0
352,7.0
353,1.0
354,104.0
361,36.0
363,269.0
370,133.0
372,3.0
373,79.0
376,322.0
377,46.0
378,245.0
380,11.0
381,621.0
383,207.0
384,72.0
387,379.0
388,265.0
389,2.0
391,322.0
393,213.0
396,4.0
399,110.0
401,877.0
402,102.0
403,3.0
406,27.0
407,378.0
408,3.0
409,29.0
414,5.0
415,66.0
418,1206.0
420,313.0
421,249.0
425,311.0
426,2.0
428,415.0
429,34.0
430,921.0
432,332.0
433,13.0
434,19.0
435,8.0
437,124.0
440,3.0
445,9.0
447,3.0
448,76.0
450,18.0
452,12.0
454,187.0
455,326.0
457,37.0
463,126.0
464,10.0
466,40.0
467,34.0
469,19.0
470,175.0
473,558.0
476,5.0
477,355.0
480,207.0
481,7.0
482,606.0
484,425.0
486,3.0
487,109.0
488,2.0
489,34.0
490,144.0
491,1506.0
495,3.0
497,168.0
498,800.0
501,731.0
502,38.0
503,2.0
505,352.0
506,18.0
508,69.0
509,321.0
511,27.0
512,12.0
514,69.0
516,153.0
518,1.0
519,30.0
520,693.0
523,46.0
526,3.0
527,9.0
528,16.0
531,160.0
533,1057.0
534,50.0
536,112.0
538,3.0
539,2.0
540,1.0
543,1.0
544,65.0
545,2.0
547,66.0
548,301.0
549,141.0
550,484.0
551,10.0
553,302.0
555,70.0
558,78.0
559,262.0
563,10.0
564,9.0
565,34.0
569,124.0
573,5.0
574,453.0
575,32.0
576,24.0
577,831.0
578,51.0
579,485.0
581,3.0
584,17.0
589,1.0
590,7.0
591,19.0
594,13.0
596,3.0
597,174.0
600,1.0
602,10.0
604,446.0
606,5.0
608,30.0
611,29.0
615,233.0
617,19.0
618,23.0
619,96.0
622,8.0
623,2.0
624,45.0
626,261.0
629,796.0
630,80.0
631,212.0
632,7.0
634,31.0
640,11.0
641,255.0
643,11.0
645,20.0
647,2680.0
649,282.0
650,159.0
651,153.0
655,2.0
657,36.0
658,16.0
660,11.0
662,65.0
664,11.0
665,38.0
666,42.0
669,466.0
672,32.0
673,23.0
675,76.0
676,671.0
677,144.0
679,2.0
680,15.0
681,127.0
683,28.0
685,98.0
688,35.0
690,66.0
691,16.0
693,41.0
694,12.0
695,23.0
696,287.0
699,2.0
703,3.0
705,1.0
708,16.0
709,5.0
710,7.0
711,58.0
712,559.0
713,11.0
714,122.0
715,39.0
716,1594.0
717,26.0
718,2.0
720,12.0
722,16.0
723,27.0
724,7.0
725,107.0
728,21.0
730,73.0
732,298.0
733,39.0
736,55.0
738,8.0
739,2.0
740,74.0
741,466.0
744,158.0
745,9.0
750,16.0
751,19.0
754,28.0
755,34.0
756,143.0
758,1246.0
759,1180.0
760,721.0
761,50.0
763,53.0
764,27.0
767,312.0
768,101.0
770,50.0
771,132.0
772,116.0
774,4.0
775,7.0
777,1360.0
778,9.0
781,502.0
782,147.0
783,6.0
784,1215.0
786,137.0
789,4.0
794,73.0
800,42.0
801,16.0
803,1.0
807,42.0
808,21.0
809,220.0
811,24.0
813,3.0
815,10.0
821,323.0
824,20.0
825,184.0
826,103.0
827,16.0
829,12.0
830,121.0
831,61.0
832,4.0
833,10.0
835,257.0
839,2.0
841,35.0
842,100.0
843,2161.0
845,119.0
847,1.0
850,221.0
851,136.0
854,94.0
